exp_name,relation,relation_expected,relation_actual,relation_source,placement_valid,placement_warning,condition_id,repeat_id,offline_type,offline_param,offline_label,spec_size,spec_copies,clients_per_thread,client_test_time,client_warmup_time,prewarm_rounds,prewarm_clients,prewarm_test_time,recovery_prewarm_rounds,recovery_prewarm_test_time,server_cpuset,server_mems,loadgen_cpuset,loadgen_mems,offline_cpuset,offline_mems,baseline_condition_id,baseline_qps,baseline_p99_ms,qps,qps_degradation_pct,gets_p99_ms,p99_slowdown,run_dir,client_json,notes
stage1_sail3090_cross_numa,cross_numa,cross_numa,cross_numa,actual,1,,baseline_none,1,none,none,none,,,900,60,120,8,900,60,0,0,"0,1,2,3,4,5,6,7",0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",1,"48,49,50,51,52,53,54,55",1,baseline_none,177764.08,92.671,177764.08,0.00,92.671,1.000,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642/parsed/baseline_none_repeat_1.json,
stage1_sail3090_cross_numa,cross_numa,cross_numa,cross_numa,actual,1,,ibench_membw_w8,1,ibench_membw,8,w8,,,900,60,120,8,900,60,0,0,"0,1,2,3,4,5,6,7",0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",1,"48,49,50,51,52,53,54,55",1,baseline_none,177764.08,92.671,169604.79,4.59,97.791,1.055,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642/parsed/ibench_membw_w8_repeat_1.json,
stage1_sail3090_cross_numa,cross_numa,cross_numa,cross_numa,actual,1,,baseline_after_membw,1,none,none,none,,,900,60,120,8,900,60,0,0,"0,1,2,3,4,5,6,7",0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",1,"48,49,50,51,52,53,54,55",1,baseline_after_membw,178221.63,92.671,178221.63,0.00,92.671,1.000,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642/parsed/baseline_after_membw_repeat_1.json,
stage1_sail3090_cross_numa,cross_numa,cross_numa,cross_numa,actual,1,,ibench_l3_w8,1,ibench_l3,8,w8,,,900,60,120,8,900,60,0,0,"0,1,2,3,4,5,6,7",0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",1,"48,49,50,51,52,53,54,55",1,baseline_after_membw,178221.63,92.671,121725.19,31.70,107.007,1.155,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642/parsed/ibench_l3_w8_repeat_1.json,
stage1_sail3090_cross_numa,cross_numa,cross_numa,cross_numa,actual,1,,baseline_after_l3,1,none,none,none,,,900,60,120,8,900,60,0,0,"0,1,2,3,4,5,6,7",0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",1,"48,49,50,51,52,53,54,55",1,baseline_after_l3,177646.76,92.671,177646.76,0.00,92.671,1.000,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642/parsed/baseline_after_l3_repeat_1.json,
stage1_sail3090_cross_numa,cross_numa,cross_numa,cross_numa,actual,1,,spec_mcf_ref_c8,1,spec_mcf,none,ref_c8,ref,8,900,60,120,8,900,60,0,0,"0,1,2,3,4,5,6,7",0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",1,"48,49,50,51,52,53,54,55",1,baseline_after_l3,177646.76,92.671,178592.87,-0.53,92.671,1.000,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642/parsed/spec_mcf_ref_c8_repeat_1.json,
stage1_sail3090_cross_numa,cross_numa,cross_numa,cross_numa,actual,1,,baseline_after_mcf,1,none,none,none,,,900,60,120,8,900,60,0,0,"0,1,2,3,4,5,6,7",0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",1,"48,49,50,51,52,53,54,55",1,baseline_after_mcf,177777.40,92.671,177777.40,0.00,92.671,1.000,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642/parsed/baseline_after_mcf_repeat_1.json,
stage1_sail3090_cross_numa,cross_numa,cross_numa,cross_numa,actual,1,,spec_lbm_ref_c8,1,spec_lbm,none,ref_c8,ref,8,900,60,120,8,900,60,0,0,"0,1,2,3,4,5,6,7",0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",1,"48,49,50,51,52,53,54,55",1,baseline_after_mcf,177777.40,92.671,166839.44,6.15,99.839,1.077,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642/parsed/spec_lbm_ref_c8_repeat_1.json,
stage1_sail3090_cross_numa,cross_numa,cross_numa,cross_numa,actual,1,,baseline_final,1,none,none,none,,,900,60,120,8,900,60,0,0,"0,1,2,3,4,5,6,7",0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",1,"48,49,50,51,52,53,54,55",1,baseline_final,177676.79,92.671,177676.79,0.00,92.671,1.000,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_cross_numa_20260528_180642/parsed/baseline_final_repeat_1.json,
stage1_sail3090_same_numa,same_numa,same_numa,same_numa,actual,1,,baseline_none,1,none,none,none,,,900,60,120,8,900,60,0,0,"0,1,2,3,4,5,6,7",0,"32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",1,"16,17,18,19,20,21,22,23",0,baseline_none,178550.37,92.159,178550.37,0.00,92.159,1.000,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_same_numa_20260528_145955,/home/lilinzhen/colocate_lab/results/cbs/stage1_sail3090_same_numa_20260528_145955/parsed/baseline_none_repeat_1.json,
